# rho_truth=1.366400e+09  f0_truth=0.8000
iter,J,rho_vap0,f0_m,g_rho,g_f0
1,3.295617e+06,1.600000e+09,0.550000,8.8899e+06,-3.1983e+07
2,1.155996e+05,1.463901e+09,0.757289,2.8994e+06,-1.1929e+07
3,1.012388e+06,1.403054e+09,0.916144,-1.0949e+07,5.5478e+07
4,2.479922e+03,1.435602e+09,0.826586,-1.2354e+05,5.9190e+05
5,1.482859e+03,1.436735e+09,0.823170,-8.1312e+04,4.0078e+05
6,3.704857e+02,1.438892e+09,0.816050,-1.7046e+04,1.0742e+05
7,2.290330e+02,1.439415e+09,0.813451,2.5015e+03,1.8209e+04
8,2.146666e+02,1.439206e+09,0.812905,6.1647e+03,1.4101e+03
9,2.109241e+02,1.438808e+09,0.812766,6.6162e+03,-8.2608e+02
10,1.785898e+02,1.434007e+09,0.811604,8.4166e+03,-1.1205e+04
11,1.276408e+02,1.424103e+09,0.809685,8.6569e+03,-1.6751e+04
12,5.222395e+01,1.403470e+09,0.806209,5.5129e+03,-1.1153e+04
13,2.010138e+00,1.373737e+09,0.801207,1.2079e+03,-2.9417e+03
14,3.124693e-01,1.369035e+09,0.800504,-4.8386e+01,1.2387e+03
15,9.036070e+00,1.350768e+09,0.797455,-2.6868e+03,7.1335e+03
16,8.593017e-02,1.367463e+09,0.800243,-2.8736e+02,1.7808e+03
17,8.862685e-01,1.361801e+09,0.799150,-1.1640e+02,-1.1883e+03
18,1.070913e-02,1.366058e+09,0.799972,-2.4689e+02,1.0531e+03
19,3.023386e-02,1.365612e+09,0.799844,4.7395e+01,-5.2828e+02
20,9.431559e-03,1.365916e+09,0.799931,-1.5338e+02,5.5131e+02
21,7.889423e-03,1.365985e+09,0.799920,1.4280e+01,-2.2577e+02
22,4.290747e-03,1.366150e+09,0.799945,5.6447e+01,-3.6547e+02
23,2.388373e-01,1.368934e+09,0.800410,4.6082e+02,-1.2354e+03
24,1.700111e-03,1.366363e+09,0.799980,8.6957e+01,-4.3023e+02
25,1.870102e-02,1.367107e+09,0.800116,1.1482e+02,-2.7945e+02
26,1.368503e-03,1.366489e+09,0.800003,9.1933e+01,-4.0645e+02
27,6.684939e-03,1.366820e+09,0.800072,5.1340e+01,-8.5686e+01
28,1.489587e-03,1.366557e+09,0.800017,8.3315e+01,-3.3824e+02
29,1.349332e-03,1.366504e+09,0.800006,9.0041e+01,-3.9134e+02
30,1.406592e-03,1.366539e+09,0.800014,8.5678e+01,-3.5669e+02
31,1.348268e-03,1.366511e+09,0.800008,8.9084e+01,-3.8389e+02
32,1.377076e-03,1.366530e+09,0.800012,8.6852e+01,-3.6601e+02
33,1.348198e-03,1.366515e+09,0.800009,8.8525e+01,-3.7977e+02
34,2.853724e-03,1.366672e+09,0.800047,3.0385e+01,-4.1184e+01
35,1.296208e-03,1.366556e+09,0.800019,7.3210e+01,-2.9015e+02
36,1.599221e-03,1.366598e+09,0.800035,1.2252e+01,1.7642e+01
37,1.189057e-03,1.366569e+09,0.800024,5.4081e+01,-1.9348e+02
38,8.771452e-04,1.366534e+09,0.800026,-6.6288e+00,8.3705e+01
39,5.299875e-04,1.366490e+09,0.800019,-1.6571e+01,1.1468e+02
40,1.588511e-02,1.365748e+09,0.799891,-9.5942e+01,2.1157e+02
41,1.412224e-04,1.366409e+09,0.800005,-2.5242e+01,1.2459e+02
42,1.098524e-03,1.366233e+09,0.799970,-1.0880e+01,-1.1069e+01
43,8.685507e-05,1.366367e+09,0.799997,-2.1661e+01,9.1053e+01
44,1.940736e-04,1.366329e+09,0.799987,-6.1899e+00,2.7816e+00
45,8.774344e-05,1.366357e+09,0.799994,-1.7822e+01,6.8925e+01
46,8.557988e-05,1.366364e+09,0.799996,-2.0782e+01,8.5936e+01
47,8.627067e-05,1.366359e+09,0.799995,-1.8870e+01,7.4844e+01
48,1.026179e-04,1.366350e+09,0.799991,-1.1494e+00,-1.3280e+01
49,7.529319e-05,1.366356e+09,0.799994,-1.2846e+01,4.4912e+01
50,5.633952e-05,1.366365e+09,0.799993,9.2795e-01,-1.7819e+01
51,3.462154e-05,1.366377e+09,0.799995,4.7475e+00,-3.1431e+01
52,2.048461e-03,1.366630e+09,0.800035,5.7567e+01,-1.8696e+02
53,1.958389e-05,1.366392e+09,0.799997,8.1400e+00,-4.1904e+01
