# rho_melt1_surf_truth=1.500000e+08  rho_melt1_deep_truth=1.500000e+08
# rho_vap0_fixed=1.366400e+09  f0_m_fixed=0.800000
iter,J,rho_melt1_surf,rho_melt1_deep,kappa_surf,kappa_deep,y_trans,width,g_rms,g_rmd,g_ks,g_kd,g_yt,g_w
1,1.608310e-09,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.995000e-01,2.100000e-03,4.8297e-10,-5.8252e-11,-4.2201e-09,4.5804e-10,4.8562e-09,-5.5488e-11
2,1.608313e-09,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.995000e-01,2.100000e-03,4.8297e-10,-5.8252e-11,-4.2517e-09,4.6930e-10,4.7553e-09,-5.3921e-11
3,6.383355e-10,3.000000e+08,3.000000e+08,1.892995e+02,1.425091e+02,1.899675e-01,2.100000e-03,1.8878e-10,-2.4038e-10,-3.9628e-09,2.9568e-09,1.6332e-08,2.6123e-11
4,1.097523e-07,3.000000e+08,3.000000e+08,1.983992e+02,1.031972e+02,1.605639e-01,2.100000e-03,1.3700e-09,9.1133e-08,-2.5627e-08,-5.5914e-07,-9.6900e-07,-1.4886e-08
5,4.023972e-10,3.000000e+08,3.000000e+08,1.899344e+02,1.392667e+02,1.877031e-01,2.100000e-03,2.0778e-10,-2.3616e-10,-3.4249e-09,2.4552e-09,8.4931e-09,1.0042e-10
6,5.229345e-10,3.000000e+08,3.000000e+08,1.920801e+02,1.295026e+02,1.846794e-01,2.100000e-03,4.9225e-10,3.0944e-10,-7.3355e-09,-1.1322e-09,-2.5684e-08,1.4997e-10
7,4.793125e-10,3.000000e+08,3.000000e+08,1.905986e+02,1.361558e+02,1.867582e-01,2.100000e-03,4.7217e-10,-8.9514e-11,-7.1142e-09,1.7778e-09,-1.5104e-09,1.8023e-10
8,3.888513e-10,3.000000e+08,3.000000e+08,1.900157e+02,1.388813e+02,1.875870e-01,2.100000e-03,2.0839e-10,-2.3287e-10,-3.3977e-09,2.4206e-09,8.0711e-09,1.0303e-10
9,5.029876e-10,3.000000e+08,3.000000e+08,1.902361e+02,1.378437e+02,1.872729e-01,2.100000e-03,4.4741e-10,-1.4913e-10,-6.7957e-11,-2.1314e-09,-2.9942e-08,2.9731e-10
10,3.869364e-10,3.000000e+08,3.000000e+08,1.900275e+02,1.388254e+02,1.875701e-01,2.100000e-03,2.0850e-10,-2.3237e-10,-3.3381e-09,2.3331e-09,7.6395e-09,1.0054e-10
