# rho_melt1_surf_truth=3.000000e+08  rho_melt1_deep_truth=3.000000e+08
# rho_vap0_fixed=1.366400e+09  f0_m_fixed=0.800000
iter,J,rho_melt1_surf,rho_melt1_deep,kappa_surf,kappa_deep,y_trans,width,g_rms,g_rmd,g_ks,g_kd,g_yt,g_w
1,2.220018e-09,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.995000e-01,2.100000e-03,2.7792e-10,-7.7811e-11,-2.0665e-09,5.7389e-10,6.4317e-09,-7.6692e-11
2,2.220021e-09,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.995000e-01,2.100000e-03,2.7792e-10,-7.7811e-11,-2.1457e-09,5.8909e-10,6.2905e-09,-7.4384e-11
3,1.082480e-09,3.000000e+08,3.000000e+08,1.895915e+02,1.424955e+02,1.899788e-01,2.100000e-03,1.9071e-11,-3.6773e-10,-2.4595e-09,4.1408e-09,2.4273e-08,1.2248e-11
4,1.561940e-07,3.000000e+08,3.000000e+08,2.012161e+02,9.933976e+01,1.573089e-01,2.100000e-03,7.7850e-10,1.3064e-07,-8.6736e-09,-7.8538e-07,-9.6122e-07,-1.7583e-08
5,7.641776e-10,3.000000e+08,3.000000e+08,1.902188e+02,1.396704e+02,1.879992e-01,2.100000e-03,4.6729e-11,-4.2482e-10,-1.8014e-09,3.8848e-09,1.8057e-08,9.5278e-11
6,1.864220e-09,3.000000e+08,3.000000e+08,1.922972e+02,1.207997e+02,1.812119e-01,2.100000e-03,7.3464e-10,1.9682e-09,-1.2807e-08,-1.0402e-08,-1.0061e-07,-1.1158e-10
7,4.886169e-10,3.000000e+08,3.000000e+08,1.908860e+02,1.332881e+02,1.857848e-01,2.100000e-03,3.4126e-10,-2.5009e-10,-5.4959e-09,2.7085e-09,6.7754e-10,1.9702e-10
8,3.597629e-10,3.000000e+08,3.000000e+08,1.949210e+02,1.236917e+02,1.842588e-01,2.100000e-03,3.3619e-10,1.7023e-10,-3.5777e-09,-1.1166e-09,-2.8048e-08,1.1590e-10
9,2.416504e-10,3.000000e+08,3.000000e+08,1.954059e+02,1.247302e+02,1.856283e-01,2.100000e-03,2.2836e-10,-1.1278e-10,-3.4661e-09,1.1980e-09,-6.5151e-09,1.5227e-10
10,1.128901e-10,3.000000e+08,3.000000e+08,1.986357e+02,1.204651e+02,1.867138e-01,2.100000e-03,6.6457e-11,-1.8399e-10,-9.6916e-10,1.3146e-09,1.3150e-09,1.0530e-10
11,6.030504e-11,3.000000e+08,3.000000e+08,2.011251e+02,1.153973e+02,1.873797e-01,2.100000e-03,7.7416e-12,-1.7756e-10,-2.4995e-10,1.1789e-09,4.7341e-09,7.0389e-11
12,1.293479e-11,3.000000e+08,3.000000e+08,2.051144e+02,1.065786e+02,1.880388e-01,2.100000e-03,-3.7657e-11,-8.9390e-11,5.8421e-10,5.0995e-10,4.2106e-09,8.1429e-12
13,4.970862e-12,3.000000e+08,3.000000e+08,2.046328e+02,1.039894e+02,1.881141e-01,2.100000e-03,-1.8891e-11,-2.0845e-11,-1.2852e-10,2.1563e-10,2.2502e-09,-6.5461e-12
14,3.154616e-11,3.000000e+08,3.000000e+08,2.052379e+02,1.016458e+02,1.881626e-01,2.100000e-03,6.8370e-11,1.6812e-10,-9.5423e-10,-9.1784e-10,-1.3133e-08,-2.5252e-11
15,4.925470e-12,3.000000e+08,3.000000e+08,2.046525e+02,1.039121e+02,1.881157e-01,2.100000e-03,-1.8644e-11,-1.8909e-11,3.1581e-10,9.8526e-11,4.4272e-10,-8.2664e-12
16,4.283788e-12,3.000000e+08,3.000000e+08,2.043178e+02,1.029693e+02,1.881471e-01,2.100000e-03,-9.4926e-12,9.7245e-12,2.0003e-09,-4.9613e-10,-8.3670e-09,-1.6747e-11
17,7.217955e-12,3.000000e+08,3.000000e+08,2.035083e+02,1.007992e+02,1.882717e-01,2.100000e-03,9.0232e-12,7.0742e-11,-1.0126e-10,-4.1144e-10,-4.7283e-09,-2.6290e-11
18,4.358614e-12,3.000000e+08,3.000000e+08,2.041669e+02,1.025619e+02,1.881702e-01,2.100000e-03,-6.1722e-12,2.0771e-11,-3.9122e-11,-8.9898e-11,-1.1986e-09,-1.5720e-11
19,4.284125e-12,3.000000e+08,3.000000e+08,2.042700e+02,1.028400e+02,1.881544e-01,2.100000e-03,-8.4446e-12,1.3210e-11,-1.1008e-09,2.1220e-10,3.5107e-09,-1.2320e-11
20,4.281278e-12,3.000000e+08,3.000000e+08,2.042957e+02,1.029095e+02,1.881505e-01,2.100000e-03,-9.0074e-12,1.1333e-11,2.2529e-09,-5.6623e-10,-9.4633e-09,-1.7467e-11
21,4.281757e-12,3.000000e+08,3.000000e+08,2.042846e+02,1.028794e+02,1.881522e-01,2.100000e-03,-8.7665e-12,1.2139e-11,1.6778e-10,-7.9067e-11,-1.3566e-09,-1.4031e-11
22,4.223382e-12,3.000000e+08,3.000000e+08,2.043622e+02,1.028408e+02,1.881749e-01,2.100000e-03,-1.1412e-11,8.2833e-12,1.2054e-09,-2.9383e-10,-4.9656e-09,-1.5770e-11
23,4.298661e-12,3.000000e+08,3.000000e+08,2.045727e+02,1.026008e+02,1.882551e-01,2.100000e-03,-1.9045e-11,-9.9283e-13,3.1063e-10,-6.4129e-12,-1.2251e-10,-1.5260e-11
24,4.204448e-12,3.000000e+08,3.000000e+08,2.044299e+02,1.027636e+02,1.882007e-01,2.100000e-03,-1.3870e-11,5.2813e-12,6.0405e-10,-1.2724e-10,-2.1806e-09,-1.5083e-11
25,4.199092e-12,3.000000e+08,3.000000e+08,2.044224e+02,1.027220e+02,1.882040e-01,2.100000e-03,-1.3718e-11,6.1243e-12,-1.2564e-10,3.9118e-11,6.5716e-10,-1.4535e-11
26,4.199569e-12,3.000000e+08,3.000000e+08,2.043940e+02,1.027193e+02,1.881975e-01,2.100000e-03,-1.2773e-11,7.7422e-12,2.2639e-10,-5.6152e-11,-9.2242e-10,-1.5041e-11
27,4.198357e-12,3.000000e+08,3.000000e+08,2.044131e+02,1.027211e+02,1.882019e-01,2.100000e-03,-1.3409e-11,6.6537e-12,2.3477e-10,-4.9829e-11,-8.3691e-10,-1.5040e-11
28,4.199278e-12,3.000000e+08,3.000000e+08,2.043834e+02,1.027065e+02,1.881968e-01,2.100000e-03,-1.2467e-11,8.4292e-12,2.2513e-10,-6.0650e-11,-9.7021e-10,-1.5263e-11
29,4.197911e-12,3.000000e+08,3.000000e+08,2.044045e+02,1.027169e+02,1.882004e-01,2.100000e-03,-1.3136e-11,7.1648e-12,2.3058e-10,-5.2554e-11,-8.6479e-10,-1.4941e-11
30,4.199348e-12,3.000000e+08,3.000000e+08,2.043858e+02,1.027422e+02,1.881935e-01,2.100000e-03,-1.2508e-11,7.8323e-12,2.2515e-10,-5.7084e-11,-9.5464e-10,-1.5016e-11
31,4.198120e-12,3.000000e+08,3.000000e+08,2.044016e+02,1.027208e+02,1.881993e-01,2.100000e-03,-1.3040e-11,7.2711e-12,-2.1598e-10,5.1439e-11,8.7396e-10,-1.4246e-11
32,4.198015e-12,3.000000e+08,3.000000e+08,2.044040e+02,1.027175e+02,1.882002e-01,2.100000e-03,-1.3120e-11,7.1871e-12,2.3404e-10,-5.3663e-11,-8.8769e-10,-1.5177e-11
33,4.197931e-12,3.000000e+08,3.000000e+08,2.044045e+02,1.027169e+02,1.882004e-01,2.100000e-03,-1.3133e-11,7.1695e-12,6.6752e-10,-1.5539e-10,-2.5930e-09,-1.5619e-11
34,4.198236e-12,3.000000e+08,3.000000e+08,2.044045e+02,1.027169e+02,1.882004e-01,2.100000e-03,-1.3136e-11,7.1703e-12,6.6556e-10,-1.5474e-10,-2.5796e-09,-1.5466e-11
35,4.198027e-12,3.000000e+08,3.000000e+08,2.044045e+02,1.027169e+02,1.882004e-01,2.100000e-03,-1.3134e-11,7.1696e-12,2.3102e-10,-5.2555e-11,-8.5882e-10,-1.4893e-11
36,4.197835e-12,3.000000e+08,3.000000e+08,2.044045e+02,1.027169e+02,1.882004e-01,2.100000e-03,-1.3136e-11,7.1691e-12,2.3096e-10,-5.2603e-11,-8.7222e-10,-1.4968e-11
37,4.810311e-11,3.000000e+08,3.000000e+08,2.032654e+02,1.031887e+02,1.894808e-01,2.100000e-03,-1.0922e-10,-1.7271e-10,1.5355e-09,9.6088e-10,1.3329e-08,-3.4892e-12
│ 37   │ 4.810e-11 │ 203.2654   │ 103.1887   │ 0.189481 │
  ├──────┼───────────┼────────────┼────────────┼──────────┤
  │ 38   │ 3.938e-12 │ 204.3331   │ 102.7463   │ 0.188280 │
  ├──────┼───────────┼────────────┼────────────┼──────────┤
  │ 39   │ 3.797e-12 │ 204.2373   │ 102.7429   │ 0.188291 │
  ├──────┼───────────┼────────────┼────────────┼──────────┤
  │ 40   │ 3.269e-12 │ 203.8545   │ 102.7294   │ 0.188332 │
  ├──────┼───────────┼────────────┼────────────┼──────────┤
  │ 41   │ 8.909e-13 │ 200.7150   │ 102.1425   │ 0.188672 │
  ├──────┼───────────┼────────────┼────────────┼──────────┤
  │ 42   │ 2.487e-13 │ 200.1530   │ 101.0588   │ 0.188864 │
  ├──────┼───────────┼────────────┼────────────┼──────────┤
  │ 43   │ 1.233e-15 │ 200.0567   │ 99.9928    │ 0.188996 │
  ├──────┼───────────┼────────────┼────────────┼──────────┤
  │ 44   │ 3.011e-16 │ 199.9773   │ 99.9647    │ 0.189008 │
  ├──────┼───────────┼────────────┼────────────┼──────────┤
  │ 45   │ 2.603e-17 │ 199.9922   │ 99.9907    │ 0.189002 │
  ├──────┼───────────┼────────────┼────────────┼──────────┤
  │ 46   │ 2.086e-19 │ 200.0006   │ 99.9996    │ 0.189000 │
