# rho_melt1_surf_truth=2.000000e+08  rho_melt1_deep_truth=2.000000e+08
# rho_vap0_fixed=1.366400e+09  f0_m_fixed=0.800000
iter,J,rho_melt1_surf,rho_melt1_deep,kappa_surf,kappa_deep,y_trans,width,g_rms,g_rmd,g_ks,g_kd,g_yt,g_w
1,1.780635e-09,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.995000e-01,2.100000e-03,4.1697e-10,-6.4581e-11,-3.5264e-09,4.9547e-10,5.3668e-09,-6.2367e-11
2,1.780638e-09,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.995000e-01,2.100000e-03,4.1697e-10,-6.4581e-11,-3.4987e-09,4.9290e-10,5.2869e-09,-6.1415e-11
3,7.588354e-10,3.000000e+08,3.000000e+08,1.891546e+02,1.427214e+02,1.899115e-01,2.100000e-03,1.4209e-10,-2.8248e-10,-3.4979e-09,3.3502e-09,1.8837e-08,2.3974e-11
4,1.275932e-07,3.000000e+08,3.000000e+08,1.987724e+02,1.017796e+02,1.593441e-01,2.100000e-03,1.1963e-09,1.0614e-07,-2.0600e-08,-6.5114e-07,-9.8485e-07,-1.6367e-08
5,4.941000e-10,3.000000e+08,3.000000e+08,1.897676e+02,1.396080e+02,1.877497e-01,2.100000e-03,1.6420e-10,-2.9904e-10,-2.9926e-09,2.9551e-09,1.1551e-08,1.0139e-10
6,6.524336e-10,3.000000e+08,3.000000e+08,1.923036e+02,1.268679e+02,1.836059e-01,2.100000e-03,5.1003e-10,5.2139e-10,6.3158e-08,-3.0854e-08,-2.2216e-07,-2.7988e-10
7,4.484583e-10,3.000000e+08,3.000000e+08,1.910760e+02,1.328621e+02,1.855935e-01,2.100000e-03,4.4840e-10,-1.8709e-11,-6.6793e-09,1.1372e-09,-8.9534e-09,1.8386e-10
8,3.555244e-10,3.000000e+08,3.000000e+08,1.928550e+02,1.290449e+02,1.857749e-01,2.100000e-03,3.9358e-10,1.9774e-11,-5.6791e-09,5.6493e-10,-1.1050e-08,1.6583e-10
9,2.822887e-11,3.000000e+08,3.000000e+08,2.012667e+02,1.138858e+02,1.888423e-01,2.100000e-03,2.3719e-11,-1.0127e-10,-5.3316e-10,7.1718e-10,4.0623e-09,5.2655e-11
10,7.496340e-12,3.000000e+08,3.000000e+08,2.031658e+02,1.102046e+02,1.888739e-01,2.100000e-03,1.0623e-11,-5.5350e-11,-1.9579e-10,3.5948e-10,2.0543e-09,2.7554e-11
11,3.908439e-13,3.000000e+08,3.000000e+08,2.048163e+02,1.069703e+02,1.888813e-01,2.100000e-03,6.6152e-12,-2.3360e-12,-1.0557e-10,2.3313e-11,-3.0289e-10,4.3077e-12
12,1.218521e-13,3.000000e+08,3.000000e+08,2.052659e+02,1.061554e+02,1.889781e-01,2.100000e-03,-8.4007e-13,-6.6782e-13,1.6541e-11,4.4159e-12,-5.3546e-12,-1.3723e-12
13,1.172700e-13,3.000000e+08,3.000000e+08,2.052450e+02,1.061331e+02,1.889837e-01,2.100000e-03,-8.3986e-13,-7.0514e-13,1.5584e-11,4.8251e-12,6.2661e-12,-1.3493e-12
14,8.939226e-14,3.000000e+08,3.000000e+08,2.050742e+02,1.059286e+02,1.890229e-01,2.100000e-03,-2.6282e-13,2.7733e-13,1.4879e-11,-3.1352e-12,-5.7668e-11,-1.2861e-12
15,3.131622e-12,3.000000e+08,3.000000e+08,2.014685e+02,1.023752e+02,1.898104e-01,2.100000e-03,1.5042e-11,7.8295e-12,-2.8289e-10,-1.9373e-11,3.3373e-10,4.7507e-12
16,7.357007e-14,3.000000e+08,3.000000e+08,2.048456e+02,1.057016e+02,1.890723e-01,2.100000e-03,4.7444e-13,9.4687e-13,7.3444e-12,-7.4650e-12,-5.5307e-11,-1.0460e-12
17,7.324966e-14,3.000000e+08,3.000000e+08,2.047240e+02,1.056539e+02,1.890892e-01,2.100000e-03,1.0999e-12,8.8463e-13,-4.3190e-12,-6.2136e-12,-5.4437e-11,-5.6658e-13
18,7.218875e-14,3.000000e+08,3.000000e+08,2.047398e+02,1.056890e+02,1.890859e-01,2.100000e-03,9.2690e-13,4.0134e-13,-6.4574e-12,-2.3517e-12,-2.8542e-11,-4.5659e-13
19,7.465933e-14,3.000000e+08,3.000000e+08,2.048761e+02,1.058234e+02,1.890660e-01,2.100000e-03,-2.0642e-13,-1.2227e-12,1.1028e-11,6.5097e-12,6.7677e-11,-5.8222e-13
20,7.151885e-14,3.000000e+08,3.000000e+08,2.047806e+02,1.057293e+02,1.890799e-01,2.100000e-03,5.8409e-13,-8.7755e-14,2.8943e-11,-6.3581e-12,-6.6514e-12,-6.2972e-13
21,7.189973e-14,3.000000e+08,3.000000e+08,2.047506e+02,1.056997e+02,1.890843e-01,2.100000e-03,8.3526e-13,2.7051e-13,-5.2446e-12,-1.5934e-12,-1.9464e-11,-4.6754e-13
22,7.177687e-14,3.000000e+08,3.000000e+08,2.048122e+02,1.057618e+02,1.890732e-01,2.100000e-03,4.6580e-13,-2.1578e-13,6.9152e-13,9.9250e-13,2.9126e-12,-5.2881e-13
23,7.465933e-14,3.000000e+08,3.000000e+08,2.048761e+02,1.058234e+02,1.890660e-01,2.100000e-03,-2.0642e-13,-1.2227e-12,1.1028e-11,6.5097e-12,6.7677e-11,-5.8222e-13
24,7.151885e-14,3.000000e+08,3.000000e+08,2.047806e+02,1.057293e+02,1.890799e-01,2.100000e-03,5.8409e-13,-8.7755e-14,2.8943e-11,-6.3581e-12,-6.6514e-12,-6.2972e-13
25,7.189973e-14,3.000000e+08,3.000000e+08,2.047506e+02,1.056997e+02,1.890843e-01,2.100000e-03,8.3526e-13,2.7051e-13,-5.2446e-12,-1.5934e-12,-1.9464e-11,-4.6754e-13
26,7.177687e-14,3.000000e+08,3.000000e+08,2.048122e+02,1.057618e+02,1.890732e-01,2.100000e-03,4.6580e-13,-2.1578e-13,6.9152e-13,9.9250e-13,2.9126e-12,-5.2881e-13
27,7.465933e-14,3.000000e+08,3.000000e+08,2.048761e+02,1.058234e+02,1.890660e-01,2.100000e-03,-2.0642e-13,-1.2227e-12,1.1028e-11,6.5097e-12,6.7677e-11,-5.8222e-13
28,7.151885e-14,3.000000e+08,3.000000e+08,2.047806e+02,1.057293e+02,1.890799e-01,2.100000e-03,5.8409e-13,-8.7755e-14,2.8943e-11,-6.3581e-12,-6.6514e-12,-6.2972e-13
29,7.189973e-14,3.000000e+08,3.000000e+08,2.047506e+02,1.056997e+02,1.890843e-01,2.100000e-03,8.3526e-13,2.7051e-13,-5.2446e-12,-1.5934e-12,-1.9464e-11,-4.6754e-13
30,7.177687e-14,3.000000e+08,3.000000e+08,2.048122e+02,1.057618e+02,1.890732e-01,2.100000e-03,4.6580e-13,-2.1578e-13,6.9152e-13,9.9250e-13,2.9126e-12,-5.2881e-13
31,7.189973e-14,3.000000e+08,3.000000e+08,2.047506e+02,1.056997e+02,1.890843e-01,2.100000e-03,8.3526e-13,2.7051e-13,-5.2446e-12,-1.5934e-12,-1.9464e-11,-4.6754e-13
32,7.177687e-14,3.000000e+08,3.000000e+08,2.048122e+02,1.057618e+02,1.890732e-01,2.100000e-03,4.6580e-13,-2.1578e-13,6.9152e-13,9.9250e-13,2.9126e-12,-5.2881e-13
33,7.465933e-14,3.000000e+08,3.000000e+08,2.048761e+02,1.058234e+02,1.890660e-01,2.100000e-03,-2.0642e-13,-1.2227e-12,1.1028e-11,6.5097e-12,6.7677e-11,-5.8222e-13
34,7.151885e-14,3.000000e+08,3.000000e+08,2.047806e+02,1.057293e+02,1.890799e-01,2.100000e-03,5.8409e-13,-8.7755e-14,2.8943e-11,-6.3581e-12,-6.6514e-12,-6.2972e-13
