# rho_melt1_surf_truth=3.000000e+08  rho_melt1_deep_truth=3.000000e+08
# rho_vap0_fixed=1.366400e+09  f0_m_fixed=0.800000
iter,J,rho_melt1_surf,rho_melt1_deep,kappa_surf,kappa_deep,y_trans,width,g_rms,g_rmd,g_ks,g_kd,g_yt,g_w
1,4.749926e-04,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.680000e-01,2.100000e-03,8.4443e-06,-9.2445e-05,-2.0248e-04,8.7739e-04,-9.5091e-04,-6.6756e-06
2,4.749924e-04,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.680000e-01,2.100000e-03,8.4443e-06,-9.2445e-05,-1.7960e-04,8.3960e-04,-9.4067e-04,-6.6026e-06
3,3.328241e-04,3.000000e+08,3.000000e+08,1.881626e+02,1.429921e+02,1.765185e-01,2.100000e-03,1.0615e-05,-1.3795e-04,1.5344e-04,9.2606e-04,5.1824e-04,5.0357e-06
4,2.456687e-04,3.000000e+08,3.000000e+08,1.884314e+02,1.341247e+02,1.785789e-01,2.100000e-03,1.1808e-05,-1.3403e-04,-2.4302e-04,1.0808e-03,-1.3529e-03,1.0296e-06
5,1.111623e-05,3.000000e+08,3.000000e+08,1.895103e+02,1.038235e+02,1.870637e-01,2.100000e-03,1.0718e-05,-6.6052e-06,-3.9789e-03,1.0796e-03,3.3027e-03,8.2048e-06
6,4.126684e-04,3.000000e+08,3.000000e+08,2.300000e+02,9.000000e+01,1.995000e-01,2.100000e-03,-4.6411e-05,-1.0284e-04,5.0869e-04,4.2122e-04,1.2701e-02,8.2117e-06
7,2.958274e-06,3.000000e+08,3.000000e+08,1.981578e+02,1.004607e+02,1.898589e-01,2.100000e-03,-2.8774e-06,-3.1707e-05,3.5908e-05,1.6865e-04,1.0950e-03,8.9563e-06
8,2.789447e-05,3.000000e+08,3.000000e+08,1.951254e+02,9.954450e+01,1.863421e-01,2.100000e-03,1.1633e-05,1.1453e-04,-2.2366e-04,-6.1881e-04,-3.7398e-03,-2.4719e-05
9,2.405027e-07,3.000000e+08,3.000000e+08,1.973997e+02,1.002322e+02,1.889786e-01,2.100000e-03,1.2393e-06,-8.8553e-07,-6.8014e-06,4.2218e-06,2.5910e-05,4.7097e-07
10,3.338953e-07,3.000000e+08,3.000000e+08,1.975231e+02,1.006881e+02,1.888237e-01,2.100000e-03,1.5434e-06,-3.4925e-06,-2.3222e-05,2.0889e-05,-8.8231e-05,1.4426e-06
11,2.416993e-07,3.000000e+08,3.000000e+08,1.974025e+02,1.002426e+02,1.889751e-01,2.100000e-03,1.2464e-06,-9.4390e-07,-6.2804e-06,4.4523e-06,2.7895e-05,4.8048e-07
