# rho_melt1_surf_truth=3.000000e+08  rho_melt1_deep_truth=3.000000e+08
# rho_vap0_fixed=1.366400e+09  f0_m_fixed=0.800000
iter,J,rho_melt1_surf,rho_melt1_deep,kappa_surf,kappa_deep,y_trans,width,g_rms,g_rmd,g_ks,g_kd,g_yt,g_w
1,3.926627e-04,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.680000e-01,2.100000e-03,6.4662e-06,-8.9479e-05,-1.5268e-04,8.0047e-04,-6.8674e-04,-4.9668e-06
2,3.926626e-04,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.680000e-01,2.100000e-03,6.4662e-06,-8.9479e-05,-1.3651e-04,7.5133e-04,-6.5155e-04,-4.6931e-06
3,2.845892e-04,3.000000e+08,3.000000e+08,1.882296e+02,1.431231e+02,1.761617e-01,2.100000e-03,8.4270e-06,-1.2430e-04,-1.6946e-04,9.5820e-04,-8.2201e-04,-7.2347e-07
4,2.039716e-04,3.000000e+08,3.000000e+08,1.989706e+02,1.348082e+02,1.870267e-01,2.100000e-03,-1.2279e-06,-1.6084e-04,-4.2411e-05,1.0442e-03,1.2627e-03,2.1694e-05
5,1.343938e-04,3.000000e+08,3.000000e+08,2.051158e+02,1.281656e+02,1.861106e-01,2.100000e-03,-9.5102e-07,-1.5487e-04,6.5945e-05,9.6967e-04,9.2713e-04,2.0754e-05
6,1.881308e-04,3.000000e+08,3.000000e+08,2.300000e+02,9.000000e+01,1.852041e-01,2.100000e-03,1.1007e-05,4.6145e-04,-3.6477e-04,-2.2501e-03,-8.9629e-03,-1.1261e-04
7,1.347248e-05,3.000000e+08,3.000000e+08,2.167133e+02,1.081498e+02,1.856746e-01,2.100000e-03,3.0907e-06,-2.8791e-05,-4.8525e-05,1.9037e-04,-7.0213e-04,-5.3010e-07
8,1.812863e-05,3.000000e+08,3.000000e+08,2.300000e+02,9.632249e+01,1.913746e-01,2.100000e-03,-1.0345e-05,-2.6227e-05,1.3937e-04,1.2042e-04,2.1234e-03,6.7036e-06
9,1.775931e-06,3.000000e+08,3.000000e+08,2.227069e+02,1.025570e+02,1.882665e-01,2.100000e-03,-1.6853e-06,-1.5497e-05,2.5229e-05,8.3512e-05,2.4502e-04,1.4347e-06
10,1.814036e-06,3.000000e+08,3.000000e+08,2.233653e+02,1.009552e+02,1.879586e-01,2.100000e-03,-4.9147e-07,1.4633e-05,-4.1113e-06,-7.1970e-05,-4.4256e-04,-6.5807e-06
11,1.358126e-06,3.000000e+08,3.000000e+08,2.230315e+02,1.017635e+02,1.881145e-01,2.100000e-03,-1.0972e-06,-1.1596e-06,1.2280e-05,8.8743e-06,-6.4352e-05,-2.3275e-06
12,1.319502e-06,3.000000e+08,3.000000e+08,2.231487e+02,1.014536e+02,1.882494e-01,2.100000e-03,-1.3582e-06,-5.6866e-07,1.6128e-05,5.0667e-06,-1.8200e-05,-2.3249e-06
13,1.285107e-06,3.000000e+08,3.000000e+08,2.228031e+02,1.012962e+02,1.883313e-01,2.100000e-03,-1.4692e-06,-3.2447e-07,1.0503e-05,3.7943e-06,-8.2401e-05,-2.2948e-06
14,1.245271e-06,3.000000e+08,3.000000e+08,2.214261e+02,1.006690e+02,1.886594e-01,2.100000e-03,-1.9415e-06,5.0313e-07,2.3412e-05,-2.1153e-06,9.5645e-05,-2.0431e-06
15,1.104720e-06,3.000000e+08,3.000000e+08,2.201516e+02,1.007269e+02,1.886645e-01,2.100000e-03,-1.7742e-06,6.0754e-07,2.2764e-05,-2.7075e-06,6.9422e-05,-2.0802e-06
16,6.680270e-07,3.000000e+08,3.000000e+08,2.151268e+02,1.009589e+02,1.886852e-01,2.100000e-03,-1.2545e-06,-5.5390e-06,1.6386e-05,2.9759e-05,8.1652e-05,-3.5241e-07
17,9.429377e-07,3.000000e+08,3.000000e+08,1.912252e+02,9.973560e+01,1.895331e-01,2.100000e-03,2.3512e-06,-2.8041e-06,-3.1132e-05,1.6832e-05,9.9972e-05,1.9852e-06
18,2.653792e-07,3.000000e+08,3.000000e+08,2.034018e+02,1.003749e+02,1.890882e-01,2.100000e-03,-1.3840e-06,-7.2230e-06,2.2028e-05,3.5743e-05,2.4639e-04,1.3930e-06
19,2.142777e-07,3.000000e+08,3.000000e+08,1.952812e+02,9.995251e+01,1.893817e-01,2.100000e-03,4.8152e-07,-5.2596e-06,-6.3935e-06,2.8044e-05,1.4833e-04,1.8939e-06
20,3.637853e-08,3.000000e+08,3.000000e+08,2.017879e+02,1.001726e+02,1.890015e-01,2.100000e-03,-5.7560e-07,-7.1774e-07,3.4886e-06,4.4620e-06,9.2091e-05,-3.1571e-09
21,5.105744e-08,3.000000e+08,3.000000e+08,2.023625e+02,1.003744e+02,1.887320e-01,2.100000e-03,2.4685e-09,3.0518e-06,2.3679e-05,-1.9824e-05,3.9874e-05,-1.4539e-06
22,2.400870e-08,3.000000e+08,3.000000e+08,2.019237e+02,1.002204e+02,1.889377e-01,2.100000e-03,-4.3567e-07,1.7724e-07,5.3128e-06,-1.1441e-06,3.0144e-05,-2.1437e-07
23,7.113318e-08,3.000000e+08,3.000000e+08,1.989984e+02,1.002479e+02,1.888300e-01,2.100000e-03,7.6717e-07,1.8790e-06,-9.8618e-06,-9.2001e-06,-1.2685e-04,-3.7324e-07
24,1.074837e-08,3.000000e+08,3.000000e+08,2.008995e+02,1.002300e+02,1.889002e-01,2.100000e-03,-1.3618e-08,1.9467e-06,1.2389e-05,-1.2088e-05,5.5003e-05,-8.6026e-07
25,1.113020e-08,3.000000e+08,3.000000e+08,2.004147e+02,1.002345e+02,1.888823e-01,2.100000e-03,1.3842e-07,-5.9209e-07,-4.9128e-06,3.8928e-06,-5.5239e-05,1.1512e-07
24,1.074837e-08,3.000000e+08,3.000000e+08,2.008995e+02,1.002300e+02,1.889002e-01,2.100000e-03,-1.3618e-08,1.9467e-06,1.2389e-05,-1.2088e-05,5.5003e-05,-8.6026e-07
26,1.113020e-08,3.000000e+08,3.000000e+08,2.004147e+02,1.002345e+02,1.888823e-01,2.100000e-03,1.3842e-07,-5.9209e-07,-4.9128e-06,3.8928e-06,-5.5239e-05,1.1512e-07
27,1.074837e-08,3.000000e+08,3.000000e+08,2.008995e+02,1.002300e+02,1.889002e-01,2.100000e-03,-1.3618e-08,1.9467e-06,1.2389e-05,-1.2088e-05,5.5003e-05,-8.6026e-07
28,1.113020e-08,3.000000e+08,3.000000e+08,2.004147e+02,1.002345e+02,1.888823e-01,2.100000e-03,1.3842e-07,-5.9209e-07,-4.9128e-06,3.8928e-06,-5.5239e-05,1.1512e-07
29,1.074837e-08,3.000000e+08,3.000000e+08,2.008995e+02,1.002300e+02,1.889002e-01,2.100000e-03,-1.3618e-08,1.9467e-06,1.2389e-05,-1.2088e-05,5.5003e-05,-8.6026e-07
30,1.113020e-08,3.000000e+08,3.000000e+08,2.004147e+02,1.002345e+02,1.888823e-01,2.100000e-03,1.3842e-07,-5.9209e-07,-4.9128e-06,3.8928e-06,-5.5239e-05,1.1512e-07
31,1.074837e-08,3.000000e+08,3.000000e+08,2.008995e+02,1.002300e+02,1.889002e-01,2.100000e-03,-1.3618e-08,1.9467e-06,1.2389e-05,-1.2088e-05,5.5003e-05,-8.6026e-07
32,1.113020e-08,3.000000e+08,3.000000e+08,2.004147e+02,1.002345e+02,1.888823e-01,2.100000e-03,1.3842e-07,-5.9209e-07,-4.9128e-06,3.8928e-06,-5.5239e-05,1.1512e-07
33,1.074837e-08,3.000000e+08,3.000000e+08,2.008995e+02,1.002300e+02,1.889002e-01,2.100000e-03,-1.3618e-08,1.9467e-06,1.2389e-05,-1.2088e-05,5.5003e-05,-8.6026e-07
34,1.113020e-08,3.000000e+08,3.000000e+08,2.004147e+02,1.002345e+02,1.888823e-01,2.100000e-03,1.3842e-07,-5.9209e-07,-4.9128e-06,3.8928e-06,-5.5239e-05,1.1512e-07
35,1.074837e-08,3.000000e+08,3.000000e+08,2.008995e+02,1.002300e+02,1.889002e-01,2.100000e-03,-1.3618e-08,1.9467e-06,1.2389e-05,-1.2088e-05,5.5003e-05,-8.6026e-07
36,1.113020e-08,3.000000e+08,3.000000e+08,2.004147e+02,1.002345e+02,1.888823e-01,2.100000e-03,1.3842e-07,-5.9209e-07,-4.9128e-06,3.8928e-06,-5.5239e-05,1.1512e-07
37,1.074837e-08,3.000000e+08,3.000000e+08,2.008995e+02,1.002300e+02,1.889002e-01,2.100000e-03,-1.3618e-08,1.9467e-06,1.2389e-05,-1.2088e-05,5.5003e-05,-8.6026e-07
38,1.113020e-08,3.000000e+08,3.000000e+08,2.004147e+02,1.002345e+02,1.888823e-01,2.100000e-03,1.3842e-07,-5.9209e-07,-4.9128e-06,3.8928e-06,-5.5239e-05,1.1512e-07
39,1.074837e-08,3.000000e+08,3.000000e+08,2.008995e+02,1.002300e+02,1.889002e-01,2.100000e-03,-1.3618e-08,1.9467e-06,1.2389e-05,-1.2088e-05,5.5003e-05,-8.6026e-07
40,1.113020e-08,3.000000e+08,3.000000e+08,2.004147e+02,1.002345e+02,1.888823e-01,2.100000e-03,1.3842e-07,-5.9209e-07,-4.9128e-06,3.8928e-06,-5.5239e-05,1.1512e-07
