# rho_melt1_surf_truth=4.000000e+08  rho_melt1_deep_truth=4.000000e+08
# rho_vap0_fixed=1.366400e+09  f0_m_fixed=0.800000
iter,J,rho_melt1_surf,rho_melt1_deep,kappa_surf,kappa_deep,y_trans,width,g_rms,g_rmd,g_ks,g_kd,g_yt,g_w
1,2.810912e-09,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.995000e-01,2.100000e-03,1.3023e-10,-9.1884e-11,-3.8684e-10,5.5593e-10,7.2487e-09,-9.2616e-11
2,2.810918e-09,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.995000e-01,2.100000e-03,1.3024e-10,-9.1884e-11,-3.1238e-10,5.4775e-10,7.3329e-09,-9.3930e-11
3,1.536375e-09,3.000000e+08,3.000000e+08,1.874163e+02,1.427895e+02,1.896601e-01,2.100000e-03,-3.3602e-11,-4.7183e-10,-1.8168e-09,4.9968e-09,2.8672e-08,1.1379e-11
4,2.633976e-07,3.000000e+08,3.000000e+08,2.300000e+02,9.110090e+01,1.556270e-01,2.100000e-03,6.5063e-10,2.1898e-07,-5.2346e-08,-1.2503e-06,-1.5261e-06,-3.2117e-08
5,8.388098e-10,3.000000e+08,3.000000e+08,1.908018e+02,1.372874e+02,1.864086e-01,2.100000e-03,2.0041e-10,-5.2272e-10,-4.4727e-09,4.9784e-09,1.5669e-08,1.9276e-10
6,4.043091e-08,3.000000e+08,3.000000e+08,2.300000e+02,1.039157e+02,1.700034e-01,2.100000e-03,1.8104e-09,3.6657e-08,-4.4079e-08,-1.9885e-07,-8.9098e-07,-9.8685e-09
7,5.184287e-10,3.000000e+08,3.000000e+08,1.949207e+02,1.329857e+02,1.844559e-01,2.100000e-03,1.7746e-10,-3.9193e-10,-2.9773e-09,3.3131e-09,1.1158e-09,1.8357e-10
8,3.177589e-10,3.000000e+08,3.000000e+08,2.006387e+02,1.270443e+02,1.836785e-01,2.100000e-03,1.0437e-10,-2.2363e-10,-2.2218e-09,1.9514e-09,-9.3806e-09,1.0629e-10
9,1.751746e-10,3.000000e+08,3.000000e+08,2.121849e+02,1.177521e+02,1.842376e-01,2.100000e-03,8.3399e-11,7.9572e-11,-1.5483e-09,-1.6997e-10,-1.6648e-08,4.2577e-12
10,2.213237e-10,3.000000e+08,3.000000e+08,2.300000e+02,1.092218e+02,1.867355e-01,2.100000e-03,-1.3468e-10,-2.6724e-10,2.1304e-09,1.4870e-09,2.0260e-08,-3.5565e-11
