# rho_melt1_surf_truth=3.000000e+08  rho_melt1_deep_truth=3.000000e+08
# rho_vap0_fixed=1.366400e+09  f0_m_fixed=0.800000
iter,J,rho_melt1_surf,rho_melt1_deep,kappa_surf,kappa_deep,y_trans,width,g_rms,g_rmd,g_ks,g_kd,g_yt,g_w
1,9.701714e-08,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.995000e-01,2.100000e-03,-6.1079e-09,-1.2121e-08,9.2520e-08,8.4587e-08,3.7170e-07,5.7286e-11
2,9.701700e-08,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.995000e-01,2.100000e-03,-6.1079e-09,-1.2121e-08,9.1161e-08,8.5047e-08,3.7196e-07,6.9285e-11
3,6.936939e-08,3.000000e+08,3.000000e+08,1.713471e+02,1.426457e+02,1.897635e-01,2.100000e-03,3.5144e-10,-2.3856e-08,-2.2647e-09,2.0416e-07,2.5739e-07,1.9220e-09
4,7.731125e-07,3.000000e+08,3.000000e+08,1.700000e+02,9.000000e+01,1.470000e-01,2.100000e-03,2.8142e-10,6.5792e-07,1.2013e-07,-4.5880e-06,-1.4564e-06,-2.1002e-08
5,4.524114e-08,3.000000e+08,3.000000e+08,1.711081e+02,1.314899e+02,1.813863e-01,2.100000e-03,3.0648e-09,-2.4266e-08,-5.1464e-08,2.1796e-07,-6.9702e-08,1.7807e-09
6,4.682410e-07,3.000000e+08,3.000000e+08,2.207097e+02,9.000000e+01,1.641705e-01,2.100000e-03,6.4999e-09,4.3395e-07,-1.4343e-07,-2.6887e-06,-4.8687e-06,-6.7034e-08
7,3.065928e-08,3.000000e+08,3.000000e+08,1.785900e+02,1.233702e+02,1.783705e-01,2.100000e-03,2.5277e-09,-1.5670e-08,-4.3205e-08,1.3899e-07,-2.9428e-07,-4.1799e-10
8,1.712863e-08,3.000000e+08,3.000000e+08,1.959625e+02,1.131134e+02,1.798439e-01,2.100000e-03,1.8544e-09,-7.1704e-10,-3.7877e-08,2.5550e-08,-5.0459e-07,-2.9251e-09
9,1.626662e-08,3.000000e+08,3.000000e+08,2.300000e+02,9.156447e+01,1.938072e-01,2.100000e-03,-3.7709e-09,-1.1674e-08,6.0429e-08,6.2160e-08,1.0775e-06,4.9711e-09
10,2.442804e-09,3.000000e+08,3.000000e+08,2.085761e+02,1.041749e+02,1.851588e-01,2.100000e-03,7.1799e-10,2.1138e-10,-1.3713e-08,3.6217e-09,-2.4277e-07,-1.2109e-09
11,1.387487e-09,3.000000e+08,3.000000e+08,2.160906e+02,9.845806e+01,1.895460e-01,2.100000e-03,-1.0861e-09,-5.3896e-09,1.1322e-08,3.2817e-08,2.0441e-07,1.8010e-09
12,3.062122e-10,3.000000e+08,3.000000e+08,2.149517e+02,9.913143e+01,1.881094e-01,2.100000e-03,-3.5691e-10,-7.4294e-10,5.3907e-09,4.7377e-09,3.3629e-08,-6.8017e-11
13,2.823754e-10,3.000000e+08,3.000000e+08,2.137128e+02,9.960157e+01,1.877236e-01,2.100000e-03,-1.7043e-10,-1.9064e-11,2.2310e-09,6.5754e-10,-1.9274e-08,-3.3652e-10
14,2.688888e-10,3.000000e+08,3.000000e+08,2.135275e+02,9.943951e+01,1.878627e-01,2.100000e-03,-2.1804e-10,-2.0787e-10,2.2896e-09,1.8213e-09,-1.3527e-08,-2.4530e-10
15,4.596300e-10,3.000000e+08,3.000000e+08,2.120131e+02,9.769796e+01,1.890413e-01,2.100000e-03,-6.5448e-10,-1.1341e-09,1.0119e-08,6.5402e-09,1.0530e-07,2.1140e-10
16,2.625093e-10,3.000000e+08,3.000000e+08,2.132430e+02,9.911088e+01,1.880829e-01,2.100000e-03,-2.9195e-10,-3.4614e-10,3.5910e-09,2.4983e-09,1.7030e-08,-1.6947e-10
17,2.456824e-10,3.000000e+08,3.000000e+08,2.123857e+02,9.914531e+01,1.880713e-01,2.100000e-03,-2.6118e-10,-2.5842e-10,3.8612e-09,1.8685e-09,6.9367e-09,-1.9168e-10
18,2.007170e-10,3.000000e+08,3.000000e+08,2.089910e+02,9.928314e+01,1.880248e-01,2.100000e-03,-1.2731e-10,8.9636e-11,1.8021e-09,-1.6456e-10,-2.1699e-08,-2.4850e-10
19,1.097750e-10,3.000000e+08,3.000000e+08,1.995702e+02,9.918362e+01,1.882935e-01,2.100000e-03,-2.1803e-10,-1.4908e-09,3.8797e-09,9.3780e-09,4.1800e-08,3.8909e-10
