# rho_melt1_surf_truth=3.000000e+08  rho_melt1_deep_truth=5.000000e+07
# rho_vap0_fixed=1.366400e+09  f0_m_fixed=0.800000
iter,J,rho_melt1_surf,rho_melt1_deep,kappa_surf,kappa_deep,y_trans,width,g_rms,g_rmd,g_ks,g_kd,g_yt,g_w
1,1.752606e-05,5.000000e+07,3.000000e+08,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-1.1517e-06,1.7939e-05,1.0493e-04,-1.2050e-04,-2.3077e-05,-1.0752e-06
2,1.183991e-05,1.000648e+08,1.508741e+08,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-4.1278e-06,8.6317e-07,-7.0794e-06,8.5869e-06,3.6600e-06,-9.1927e-08
3,1.024356e-05,1.325155e+08,1.173356e+08,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-6.5894e-06,1.6532e-07,3.2500e-05,-2.7469e-05,-1.4011e-06,2.7350e-08
4,1.011548e-06,4.075762e+08,4.292306e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,1.8407e-05,1.3070e-07,1.3766e-05,-9.7200e-06,4.8844e-05,-6.3977e-07
5,7.709790e-06,1.793161e+08,8.950785e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-1.0256e-05,-6.4362e-08,2.6308e-05,-2.1898e-05,-9.3043e-06,1.6771e-07
6,1.767026e-07,3.423885e+08,5.016927e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-4.9079e-06,2.0387e-08,7.3474e-06,-4.0094e-06,1.4322e-06,6.8337e-08
7,3.539022e-08,3.619168e+08,4.773930e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,1.6637e-07,5.0693e-08,6.6901e-06,-6.6452e-06,1.1761e-05,-8.3090e-08
8,8.338190e-08,3.504612e+08,4.877460e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-2.9897e-06,3.1655e-08,4.2642e-06,-1.0122e-06,5.2759e-06,1.1294e-08
9,3.530897e-08,3.614697e+08,4.777868e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,3.3445e-08,4.9932e-08,3.9994e-06,-4.4365e-06,1.1488e-05,-7.9096e-08
10,3.527652e-08,3.614706e+08,4.774549e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,3.3159e-08,4.9833e-08,2.4248e-06,-2.4469e-06,1.1482e-05,-7.9105e-08
11,3.514153e-08,3.614745e+08,4.761294e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,3.2439e-08,4.9435e-08,4.3638e-06,-4.0938e-06,1.1457e-05,-7.9152e-08
12,3.459680e-08,3.614901e+08,4.708641e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,2.9070e-08,4.7876e-08,4.4940e-06,-4.4275e-06,1.1355e-05,-7.9283e-08
13,3.268228e-08,3.615524e+08,4.503789e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,1.6536e-08,4.2165e-08,4.6093e-06,-4.4782e-06,1.0973e-05,-7.9977e-08
14,2.371812e-08,3.622622e+08,3.255666e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,4.7517e-08,1.7454e-08,7.1090e-06,-7.1696e-06,8.8540e-06,-8.4724e-08
15,2.080505e-08,3.625235e+08,2.600879e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,3.4016e-08,9.6288e-09,5.1447e-09,7.7189e-08,7.7016e-06,-8.5175e-08
16,1.899435e-08,3.627842e+08,2.000000e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,2.9077e-08,4.8727e-09,3.7772e-06,-3.7966e-06,6.6735e-06,-8.5154e-08
17,1.899150e-08,3.626861e+08,2.000000e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,3.4167e-11,4.8000e-09,5.3831e-06,-5.5101e-06,6.6128e-06,-8.4221e-08
18,1.899168e-08,3.626860e+08,2.000000e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-1.6488e-10,4.7995e-09,2.4567e-06,-2.3399e-06,6.6124e-06,-8.4216e-08
19,1.899135e-08,3.626861e+08,2.000000e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-8.2888e-11,4.7993e-09,6.0220e-06,-6.0676e-06,6.6124e-06,-8.4218e-08
20,1.898974e-08,3.626861e+08,2.000000e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-1.1099e-11,4.7992e-09,1.3319e-06,-1.3363e-06,6.6122e-06,-8.4217e-08
