# rho_melt1_surf_truth=2.500000e+08  rho_melt1_deep_truth=2.500000e+08
# rho_vap0_fixed=1.366400e+09  f0_m_fixed=0.800000
iter,J,rho_melt1_surf,rho_melt1_deep,kappa_surf,kappa_deep,y_trans,width,g_rms,g_rmd,g_ks,g_kd,g_yt,g_w
1,3.281888e-04,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.680000e-01,2.100000e-03,6.5849e-06,-7.1562e-05,-1.3842e-04,6.5274e-04,-6.8965e-04,-4.9855e-06
2,3.281887e-04,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.680000e-01,2.100000e-03,6.5849e-06,-7.1562e-05,-1.2268e-04,6.0867e-04,-6.5561e-04,-4.7241e-06
3,2.300862e-04,3.000000e+08,3.000000e+08,1.881557e+02,1.431669e+02,1.761783e-01,2.100000e-03,8.7510e-06,-1.0258e-04,-3.7052e-04,8.8119e-04,-1.0461e-03,-1.3809e-06
4,1.685755e-04,3.000000e+08,3.000000e+08,2.151015e+02,1.338222e+02,1.900602e-01,2.100000e-03,-8.4096e-06,-1.3754e-04,6.7005e-05,8.4527e-04,2.4523e-03,2.6601e-05
5,1.150946e-04,3.000000e+08,3.000000e+08,2.127619e+02,1.325608e+02,1.829461e-01,2.100000e-03,2.8217e-06,-1.1766e-04,-6.4666e-05,7.9757e-04,-2.7607e-04,7.6190e-06
6,8.204354e-05,3.000000e+08,3.000000e+08,2.206903e+02,1.276428e+02,1.829911e-01,2.100000e-03,2.4761e-06,-1.0312e-04,-3.9897e-05,6.6289e-04,-2.1212e-04,6.0806e-06
7,4.100149e-05,3.000000e+08,3.000000e+08,2.300000e+02,1.066787e+02,1.835903e-01,2.100000e-03,6.4134e-06,9.9326e-05,-1.2353e-04,-4.9643e-04,-3.0754e-03,-3.0404e-05
8,4.354739e-06,3.000000e+08,3.000000e+08,2.300000e+02,1.063705e+02,1.887654e-01,2.100000e-03,-3.1203e-06,-3.2058e-05,3.6648e-05,1.7104e-04,6.3783e-04,6.5746e-06
9,1.652776e-06,3.000000e+08,3.000000e+08,2.300000e+02,1.049184e+02,1.883382e-01,2.100000e-03,-1.8191e-06,-8.0469e-06,-4.2707e-06,4.8318e-05,3.2036e-04,1.1558e-07
10,3.884337e-06,3.000000e+08,3.000000e+08,2.300000e+02,1.050491e+02,1.874251e-01,2.100000e-03,8.6160e-07,1.8717e-05,-8.5040e-06,-9.2377e-05,-8.1865e-04,-9.1467e-06
11,1.554103e-06,3.000000e+08,3.000000e+08,2.300000e+02,1.049366e+02,1.882111e-01,2.100000e-03,-1.5479e-06,-5.3530e-06,3.7301e-05,2.7011e-05,7.6829e-05,-1.1975e-06
12,1.433272e-06,3.000000e+08,3.000000e+08,2.284899e+02,1.048655e+02,1.879742e-01,2.100000e-03,-8.5965e-07,1.7891e-06,-9.2188e-06,-4.1623e-06,-2.7933e-04,-3.2813e-06
13,1.443108e-06,3.000000e+08,3.000000e+08,2.292967e+02,1.049035e+02,1.881009e-01,2.100000e-03,-1.2288e-06,-2.0774e-06,1.8716e-05,1.2578e-05,-1.5084e-05,-2.0443e-06
14,1.403671e-06,3.000000e+08,3.000000e+08,2.289999e+02,1.046209e+02,1.881225e-01,2.100000e-03,-1.1669e-06,9.6920e-07,1.8607e-05,-3.7960e-06,-7.0514e-05,-2.7914e-06
15,1.377029e-06,3.000000e+08,3.000000e+08,2.285040e+02,1.044188e+02,1.881563e-01,2.100000e-03,-1.1278e-06,2.9390e-06,-2.7440e-06,-9.7552e-06,-2.2928e-05,-2.9753e-06
16,1.376183e-06,3.000000e+08,3.000000e+08,2.286213e+02,1.045424e+02,1.881456e-01,2.100000e-03,-1.1517e-06,1.6176e-06,1.2392e-05,-6.0490e-06,-6.4649e-05,-2.8148e-06
17,1.367702e-06,3.000000e+08,3.000000e+08,2.285590e+02,1.046264e+02,1.881534e-01,2.100000e-03,-1.1838e-06,4.6797e-07,6.5512e-06,1.3755e-06,-8.2952e-06,-2.5257e-06
18,1.361139e-06,3.000000e+08,3.000000e+08,2.284358e+02,1.046231e+02,1.881470e-01,2.100000e-03,-1.1550e-06,7.3258e-07,1.4115e-05,-1.6613e-06,-4.5528e-05,-2.6940e-06
19,1.341449e-06,3.000000e+08,3.000000e+08,2.279439e+02,1.046100e+02,1.881218e-01,2.100000e-03,-1.0392e-06,1.7989e-06,1.1050e-05,-6.7299e-06,-7.4818e-05,-2.9113e-06
20,1.331472e-06,3.000000e+08,3.000000e+08,2.273753e+02,1.045948e+02,1.880926e-01,2.100000e-03,-9.0332e-07,3.0422e-06,8.5190e-06,-1.3062e-05,-1.2678e-04,-3.2456e-06
21,1.297840e-06,3.000000e+08,3.000000e+08,2.260438e+02,1.046194e+02,1.880699e-01,2.100000e-03,-6.9293e-07,4.1678e-06,6.0163e-06,-1.8427e-05,-1.7487e-04,-3.4519e-06
22,1.174849e-06,3.000000e+08,3.000000e+08,2.230784e+02,1.047003e+02,1.881103e-01,2.100000e-03,-3.9503e-07,4.2546e-06,-9.9641e-05,4.1722e-06,1.2234e-04,-2.2284e-06
23,1.285460e-06,3.000000e+08,3.000000e+08,2.257787e+02,1.046266e+02,1.880735e-01,2.100000e-03,-6.6806e-07,4.1750e-06,1.3081e-06,-1.8159e-05,-2.3696e-04,-3.5198e-06
24,8.356261e-07,3.000000e+08,3.000000e+08,2.200006e+02,1.044213e+02,1.884198e-01,2.100000e-03,-5.4745e-07,2.5407e-06,1.0367e-05,-1.1706e-05,-1.0674e-04,-2.5127e-06
25,1.344132e-06,3.000000e+08,3.000000e+08,1.983297e+02,1.036039e+02,1.898113e-01,2.100000e-03,-1.1104e-06,-2.0118e-05,8.3647e-06,1.0786e-04,5.6104e-04,5.2143e-06
26,3.281497e-07,3.000000e+08,3.000000e+08,2.119108e+02,1.041252e+02,1.889213e-01,2.100000e-03,-3.9919e-07,-5.7888e-06,6.6604e-06,3.1584e-05,2.1069e-05,4.1647e-07
27,2.166916e-06,3.000000e+08,3.000000e+08,1.915091e+02,1.024261e+02,1.902729e-01,2.100000e-03,1.1383e-06,-1.2425e-05,-2.5927e-05,7.2078e-05,5.4519e-04,4.2007e-06
28,6.854413e-07,3.000000e+08,3.000000e+08,2.077443e+02,1.037897e+02,1.891857e-01,2.100000e-03,-1.8347e-06,-1.2802e-05,-1.4222e-05,7.4668e-05,4.0277e-04,2.8020e-06
29,2.996076e-07,3.000000e+08,3.000000e+08,2.113846e+02,1.040831e+02,1.889544e-01,2.100000e-03,-3.5401e-07,-5.6824e-06,5.5560e-06,3.1092e-05,2.1583e-05,4.5138e-07
30,4.977553e-07,3.000000e+08,3.000000e+08,2.078516e+02,1.033822e+02,1.891973e-01,2.100000e-03,-1.7602e-06,-8.4999e-06,2.4643e-05,4.4002e-05,3.3017e-04,1.6418e-06
31,2.668385e-07,3.000000e+08,3.000000e+08,2.110007e+02,1.040073e+02,1.889806e-01,2.100000e-03,-3.0991e-07,-5.1298e-06,6.0531e-06,2.8627e-05,8.2230e-06,4.0766e-07
32,2.423084e-07,3.000000e+08,3.000000e+08,2.106949e+02,1.039469e+02,1.890015e-01,2.100000e-03,-2.7401e-07,-4.6894e-06,5.6738e-06,2.5273e-05,1.7125e-07,3.1245e-07
33,6.308856e-07,3.000000e+08,3.000000e+08,2.092684e+02,1.036642e+02,1.890994e-01,2.100000e-03,-1.8732e-06,-1.0613e-05,2.3899e-05,5.4240e-05,3.3478e-04,1.9990e-06
34,2.382309e-07,3.000000e+08,3.000000e+08,2.106424e+02,1.039365e+02,1.890051e-01,2.100000e-03,-2.6779e-07,-4.6136e-06,5.6834e-06,2.5851e-05,-9.0932e-08,3.2282e-07
35,2.344394e-07,3.000000e+08,3.000000e+08,2.105929e+02,1.039267e+02,1.890085e-01,2.100000e-03,-2.6192e-07,-4.5425e-06,5.4888e-06,2.4877e-05,-1.5242e-06,2.9221e-07
36,1.863435e-07,3.000000e+08,3.000000e+08,2.099296e+02,1.037953e+02,1.890539e-01,2.100000e-03,-2.0936e-07,-3.6960e-06,8.5272e-06,1.9247e-05,-3.1122e-05,1.9244e-07
37,1.850423e-07,3.000000e+08,3.000000e+08,2.099165e+02,1.037928e+02,1.890548e-01,2.100000e-03,-2.1957e-07,-3.7256e-06,1.1517e-05,1.8539e-05,-4.2097e-05,1.9363e-07
38,1.832388e-07,3.000000e+08,3.000000e+08,2.099017e+02,1.037898e+02,1.890558e-01,2.100000e-03,-2.4214e-07,-3.8061e-06,1.6878e-05,1.7892e-05,-6.0890e-05,2.2841e-07
