# rho_melt1_surf_truth=2.000000e+08  rho_melt1_deep_truth=2.000000e+08
# rho_vap0_fixed=1.366400e+09  f0_m_fixed=0.800000
iter,J,rho_melt1_surf,rho_melt1_deep,kappa_surf,kappa_deep,y_trans,width,g_rms,g_rmd,g_ks,g_kd,g_yt,g_w
1,2.732280e-04,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.680000e-01,2.100000e-03,6.6995e-06,-5.4255e-05,-1.2465e-04,5.1004e-04,-6.9245e-04,-5.0035e-06
2,2.732280e-04,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.680000e-01,2.100000e-03,6.6995e-06,-5.4255e-05,-1.1658e-04,4.8753e-04,-6.9113e-04,-4.9823e-06
3,1.811787e-04,3.000000e+08,3.000000e+08,1.886177e+02,1.429997e+02,1.765967e-01,2.100000e-03,8.9455e-06,-8.3451e-05,-2.4350e-04,7.1969e-04,-7.2625e-04,-8.7099e-07
4,8.968730e-05,3.000000e+08,3.000000e+08,2.079712e+02,1.332584e+02,1.861047e-01,2.100000e-03,-1.6443e-08,-1.1222e-04,-1.7231e-05,7.2365e-04,6.2001e-04,1.4495e-05
5,2.606645e-05,3.000000e+08,3.000000e+08,2.234218e+02,1.206197e+02,1.867144e-01,2.100000e-03,-1.4069e-07,-7.3078e-05,-8.7909e-04,6.6043e-04,3.1155e-03,2.0332e-05
6,1.024120e-05,3.000000e+08,3.000000e+08,2.300000e+02,1.158496e+02,1.869618e-01,2.100000e-03,-3.8248e-07,-4.6764e-05,5.6629e-06,2.7161e-04,2.3372e-04,6.3419e-06
7,5.060583e-06,3.000000e+08,3.000000e+08,2.300000e+02,1.068288e+02,1.875943e-01,2.100000e-03,1.3619e-06,3.3213e-05,-2.9740e-05,-1.6763e-04,-9.5245e-04,-1.1657e-05
8,6.771551e-06,3.000000e+08,3.000000e+08,2.300000e+02,1.047641e+02,1.906145e-01,2.100000e-03,-5.6562e-06,-1.6988e-05,8.9918e-05,8.0851e-05,1.2225e-03,3.2383e-06
9,1.530349e-06,3.000000e+08,3.000000e+08,2.300000e+02,1.058932e+02,1.889495e-01,2.100000e-03,-1.8654e-06,6.9433e-06,2.1122e-05,-3.7510e-05,5.0570e-05,-3.3317e-06
10,1.014402e-06,3.000000e+08,3.000000e+08,2.281796e+02,1.079313e+02,1.884284e-01,2.100000e-03,-1.0902e-06,-2.1969e-06,1.3135e-05,1.3785e-05,1.2196e-05,-1.3348e-06
11,8.113872e-07,3.000000e+08,3.000000e+08,2.252681e+02,1.075396e+02,1.886287e-01,2.100000e-03,-1.0542e-06,-5.5477e-07,1.3937e-05,3.9086e-06,2.8182e-06,-1.5098e-06
12,1.642401e-07,3.000000e+08,3.000000e+08,2.139887e+02,1.059870e+02,1.894324e-01,2.100000e-03,-8.6276e-07,3.4739e-07,1.1398e-05,-2.2525e-06,4.1288e-05,-6.9994e-07
13,1.333348e-06,3.000000e+08,3.000000e+08,1.968906e+02,1.047498e+02,1.903364e-01,2.100000e-03,1.8105e-07,-4.1583e-06,-1.1920e-05,2.5239e-05,3.6206e-04,1.9478e-06
14,8.201578e-07,3.000000e+08,3.000000e+08,2.113020e+02,1.057983e+02,1.895693e-01,2.100000e-03,-2.1938e-06,-5.8426e-06,3.3676e-05,2.8371e-05,4.0888e-04,9.8487e-07
15,1.615497e-07,3.000000e+08,3.000000e+08,2.139242e+02,1.059825e+02,1.894357e-01,2.100000e-03,-8.5656e-07,3.6584e-07,1.2044e-05,-2.4995e-06,4.1007e-05,-7.1347e-07
16,1.588354e-07,3.000000e+08,3.000000e+08,2.138588e+02,1.059779e+02,1.894390e-01,2.100000e-03,-8.5025e-07,3.8395e-07,1.1057e-05,-2.3930e-06,4.1842e-05,-6.7535e-07
17,8.955813e-07,3.000000e+08,3.000000e+08,2.125765e+02,1.058881e+02,1.895041e-01,2.100000e-03,-2.2747e-06,-6.2578e-06,3.3559e-05,3.1345e-05,4.1765e-04,1.0972e-06
18,1.582736e-07,3.000000e+08,3.000000e+08,2.138452e+02,1.059770e+02,1.894397e-01,2.100000e-03,-8.4892e-07,3.8774e-07,1.0848e-05,-2.4579e-06,3.9480e-05,-6.7337e-07
19,1.576341e-07,3.000000e+08,3.000000e+08,2.138297e+02,1.059759e+02,1.894405e-01,2.100000e-03,-8.4741e-07,3.9223e-07,1.0831e-05,-2.3933e-06,3.6584e-05,-6.8406e-07
20,1.329600e-07,3.000000e+08,3.000000e+08,2.132022e+02,1.059320e+02,1.894723e-01,2.100000e-03,-7.8565e-07,5.6674e-07,1.0203e-05,-3.3939e-06,3.1672e-05,-6.6312e-07
21,9.080809e-07,3.000000e+08,3.000000e+08,2.127890e+02,1.059030e+02,1.894933e-01,2.100000e-03,-2.2865e-06,-6.3195e-06,3.0474e-05,3.3147e-05,4.0112e-04,1.1817e-06
22,6.061392e-07,3.000000e+08,3.000000e+08,2.082975e+02,1.059160e+02,1.896389e-01,2.100000e-03,-1.8311e-06,-6.4616e-06,9.6537e-05,1.6528e-05,3.8373e-04,9.1240e-07
23,9.1754423e-07,3.000000e+08,3.000000e+08,2.130627e+02,1.059314e+02,1.894770e-01,2.100000e-03,-2.2935e-06,-6.4110e-06,2.4731e-05,3.4251e-05,4.6027e-04,1.0773e-06
24,1.349079e-07,3.000000e+08,3.000000e+08,2.132008e+02,1.059319e+02,1.894724e-01,2.100000e-03,-7.8550e-07,5.6716e-07,9.9953e-06,-3.2367e-06,3.5499e-05,-6.7244e-07
25,1.385423e-07,3.000000e+08,3.000000e+08,2.134008e+02,1.054319e+02,1.894724e-01,2.100000e-03,-7.8550e-07,5.6716e-07,9.9953e-06,-3.2367e-06,3.5499e-05,-6.7244e-07
26,1.314043e-07,3.000000e+08,3.000000e+08,2.13208e+02,1.0595319e+02,1.894724e-01,2.100000e-03,-7.8550e-07,5.6716e-07,9.9953e-06,-3.2367e-06,3.5499e-05,-6.7244e-07
27,1.34067e-07,3.000000e+08,3.000000e+08,2.1322008e+02,1.095319e+02,1.894724e-01,2.100000e-03,-7.8550e-07,5.6716e-07,9.9953e-06,-3.2367e-06,3.5499e-05,-6.7244e-07
28,1.358954e-07,3.000000e+08,3.000000e+08,2.132007e+02,1.059619e+02,1.894724e-01,2.100000e-03,-7.8548e-07,5.6715e-07,9.9359e-06,-3.3400e-06,3.4353e-05,-6.5189e-07
