# rho_melt1_surf_truth=3.000000e+08  rho_melt1_deep_truth=3.000000e+08
# rho_vap0_fixed=1.366400e+09  f0_m_fixed=0.800000
iter,J,rho_melt1_surf,rho_melt1_deep,kappa_surf,kappa_deep,y_trans,width,g_rms,g_rmd,g_ks,g_kd,g_yt,g_w
1,8.585333e-08,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.995000e-01,2.100000e-03,-5.0270e-09,-1.1769e-08,7.9153e-08,8.2289e-08,3.4992e-07,1.9917e-10
2,8.585338e-08,3.000000e+08,3.000000e+08,1.800000e+02,1.500000e+02,1.995000e-01,2.100000e-03,-5.0270e-09,-1.1769e-08,8.0581e-08,8.3451e-08,3.5498e-07,2.0317e-10
3,6.069313e-08,3.000000e+08,3.000000e+08,1.710669e+02,1.425837e+02,1.896331e-01,2.100000e-03,1.2194e-09,-2.2308e-08,-1.7059e-08,1.9615e-07,2.1288e-07,1.8999e-09
4,7.278445e-07,3.000000e+08,3.000000e+08,1.700000e+02,9.149304e+01,1.470000e-01,2.100000e-03,2.6338e-10,6.1045e-07,5.3258e-07,-4.4485e-06,-1.3838e-06,-2.0155e-08
5,4.217344e-08,3.000000e+08,3.000000e+08,1.708857e+02,1.322611e+02,1.816270e-01,2.100000e-03,3.5723e-09,-2.1246e-08,-5.9573e-08,1.9259e-07,-7.7789e-08,1.4084e-09
6,6.188404e-08,3.000000e+08,3.000000e+08,1.845118e+02,1.099297e+02,1.732901e-01,2.100000e-03,4.4364e-09,4.4480e-08,-3.9121e-08,-2.9544e-07,-1.2076e-06,-8.9487e-09
7,3.063177e-08,3.000000e+08,3.000000e+08,1.758050e+02,1.235152e+02,1.784972e-01,2.100000e-03,3.2220e-09,-1.1015e-08,-7.2815e-08,1.1295e-07,-2.9819e-07,-6.2046e-10
8,2.159496e-08,3.000000e+08,3.000000e+08,1.910496e+02,1.126878e+02,1.797931e-01,2.100000e-03,2.5054e-09,4.9253e-09,-4.5539e-08,-1.4364e-08,-6.0827e-07,-3.5936e-09
9,9.485230e-09,3.000000e+08,3.000000e+08,2.300000e+02,9.371219e+01,1.934090e-01,2.100000e-03,-2.7385e-09,-1.0293e-08,4.2945e-08,5.5635e-08,8.3823e-07,4.2752e-09
10,3.094573e-09,3.000000e+08,3.000000e+08,2.080778e+02,1.035208e+02,1.859351e-01,2.100000e-03,1.0525e-09,4.1393e-09,-1.8807e-08,-2.2547e-08,-3.3756e-07,-2.1184e-09
11,4.990711e-09,3.000000e+08,3.000000e+08,2.222751e+02,9.706007e+01,1.920362e-01,2.100000e-03,-1.9480e-09,-9.1582e-09,3.1891e-08,5.2156e-08,5.7914e-07,3.4283e-09
12,2.648490e-10,3.000000e+08,3.000000e+08,2.142307e+02,1.006169e+02,1.886046e-01,2.100000e-03,8.2825e-12,-1.2650e-09,2.6432e-10,8.3342e-09,-2.8230e-08,-2.3604e-11
13,1.777313e-10,3.000000e+08,3.000000e+08,2.158458e+02,9.953007e+01,1.891076e-01,2.100000e-03,-2.0565e-10,-1.3548e-09,-3.1123e-08,1.6144e-08,1.6525e-07,1.4608e-10
14,1.352219e-09,3.000000e+08,3.000000e+08,2.254914e+02,9.403198e+01,1.908603e-01,2.100000e-03,-1.0023e-09,1.4433e-09,1.3959e-08,-8.1159e-09,1.3415e-07,-8.6274e-10
15,1.716691e-10,3.000000e+08,3.000000e+08,2.172472e+02,9.869637e+01,1.893660e-01,2.100000e-03,-2.9965e-10,2.8344e-10,3.8923e-09,-1.6469e-09,7.4687e-09,-3.7968e-10
16,1.671352e-10,3.000000e+08,3.000000e+08,2.163854e+02,9.918933e+01,1.891518e-01,2.100000e-03,-2.2242e-10,-9.1713e-10,3.7553e-09,5.7265e-09,1.5759e-08,-5.7295e-11
17,1.620232e-10,3.000000e+08,3.000000e+08,2.154093e+02,9.935276e+01,1.889574e-01,2.100000e-03,-1.1117e-10,-2.8407e-10,1.7462e-09,1.9608e-09,-1.8634e-08,-2.7459e-10
18,1.536122e-10,3.000000e+08,3.000000e+08,2.158190e+02,9.910974e+01,1.890668e-01,2.100000e-03,-1.5981e-10,-3.0606e-10,2.4357e-09,2.0084e-09,-8.3318e-09,-2.5258e-10
19,1.489673e-10,3.000000e+08,3.000000e+08,2.160166e+02,9.881394e+01,1.891517e-01,2.100000e-03,-1.8728e-10,-8.4491e-11,2.8798e-09,6.2145e-10,-6.3628e-09,-3.2059e-10
20,1.472432e-10,3.000000e+08,3.000000e+08,2.159448e+02,9.866987e+01,1.891711e-01,2.100000e-03,-1.8508e-10,1.4306e-10,2.7099e-09,-7.4009e-10,-1.0636e-08,-3.8601e-10
21,1.461996e-10,3.000000e+08,3.000000e+08,2.158255e+02,9.860169e+01,1.891764e-01,2.100000e-03,-1.7945e-10,2.8051e-10,2.5861e-09,-1.5782e-09,-1.4325e-08,-4.3466e-10
22,1.439644e-10,3.000000e+08,3.000000e+08,2.155478e+02,9.850616e+01,1.891883e-01,2.100000e-03,-1.6993e-10,4.6949e-10,2.4363e-09,-2.7081e-09,-1.8857e-08,-4.8738e-10
23,1.384611e-10,3.000000e+08,3.000000e+08,2.147391e+02,9.836148e+01,1.892105e-01,2.100000e-03,-1.4427e-10,7.9251e-10,-4.5127e-11,-4.2134e-09,-2.4978e-08,-5.6247e-10
24,1.361157e-10,3.000000e+08,3.000000e+08,2.149326e+02,9.839046e+01,1.892336e-01,2.100000e-03,-1.6386e-10,5.9668e-10,2.4253e-09,-3.5586e-09,-2.3890e-08,-5.1167e-10
25,1.357826e-10,3.000000e+08,3.000000e+08,2.149892e+02,9.836881e+01,1.894554e-01,2.100000e-03,-2.7296e-10,-3.7455e-10,2.5100e-09,2.5618e-09,1.9263e-08,-1.6127e-10
26,1.269635e-10,3.000000e+08,3.000000e+08,2.147713e+02,9.843392e+01,1.893385e-01,2.100000e-03,-2.1231e-10,4.6459e-11,3.1691e-09,-2.2856e-10,-1.4146e-09,-3.1820e-10
27,1.227335e-10,3.000000e+08,3.000000e+08,2.143935e+02,9.850971e+01,1.892854e-01,2.100000e-03,-1.7852e-10,1.7860e-10,2.6344e-09,-9.9461e-10,-1.0165e-08,-3.6479e-10
28,1.136605e-10,3.000000e+08,3.000000e+08,2.135476e+02,9.855981e+01,1.892675e-01,2.100000e-03,-1.4362e-10,2.6959e-10,2.1259e-09,-1.5269e-09,-1.7534e-08,-3.8227e-10
29,7.499461e-11,3.000000e+08,3.000000e+08,2.090826e+02,9.855897e+01,1.893504e-01,2.100000e-03,-8.5328e-12,5.1850e-10,3.2508e-09,-3.7017e-09,-5.4928e-08,-3.5172e-10
30,1.648856e-10,3.000000e+08,3.000000e+08,1.921368e+02,9.855561e+01,1.896821e-01,2.100000e-03,5.0745e-10,-2.0543e-10,-4.3629e-09,8.4242e-10,-1.5797e-08,2.2484e-10
31,2.781672e-11,3.000000e+08,3.000000e+08,2.033886e+02,9.855787e+01,1.894587e-01,2.100000e-03,-1.6666e-10,-5.8349e-10,1.3803e-10,4.0295e-09,2.5775e-08,9.7031e-11
32,2.906179e-11,3.000000e+08,3.000000e+08,2.039736e+02,9.843545e+01,1.894298e-01,2.100000e-03,-1.6943e-10,-2.8348e-10,2.5389e-09,1.6805e-09,1.6890e-08,-1.5011e-11
33,2.781386e-11,3.000000e+08,3.000000e+08,2.035611e+02,9.852172e+01,1.894502e-01,2.100000e-03,-1.6745e-10,-4.9517e-10,1.3975e-09,3.2874e-09,2.8678e-08,4.8613e-11
34,4.262678e-10,3.000000e+08,3.000000e+08,2.027622e+02,9.685487e+01,1.890331e-01,2.100000e-03,1.9586e-10,5.4564e-09,-2.9274e-09,-3.4045e-08,-1.4965e-07,-1.7917e-09
35,2.160091e-11,3.000000e+08,3.000000e+08,2.034656e+02,9.832137e+01,1.894004e-01,2.100000e-03,-1.2471e-10,1.6326e-10,3.7840e-09,-1.5529e-09,-8.7363e-09,-1.3200e-10
36,2.146624e-11,3.000000e+08,3.000000e+08,2.026341e+02,9.808852e+01,1.894276e-01,2.100000e-03,-8.4645e-11,6.7291e-10,9.4741e-10,-4.1062e-09,-1.1892e-08,-2.7669e-10
37,1.553171e-11,3.000000e+08,3.000000e+08,2.025826e+02,9.827250e+01,1.894325e-01,2.100000e-03,-9.7679e-11,2.5693e-10,1.2872e-09,-1.6178e-09,-1.9513e-09,-1.5377e-10
38,1.184380e-11,3.000000e+08,3.000000e+08,2.021938e+02,9.842291e+01,1.894374e-01,2.100000e-03,-9.2641e-11,-3.2979e-11,4.6858e-09,-6.7553e-10,-1.3536e-08,-3.0753e-11
