# rho_melt1_surf_truth=3.000000e+08  rho_melt1_deep_truth=5.000000e+07
# rho_vap0_fixed=1.366400e+09  f0_m_fixed=0.800000
iter,J,rho_melt1_surf,rho_melt1_deep,kappa_surf,kappa_deep,y_trans,width,g_rms,g_rmd,g_ks,g_kd,g_yt,g_w
1,1.046198e-05,5.000000e+07,3.000000e+08,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-7.5240e-07,1.7887e-05,1.0574e-04,-1.2163e-04,-2.7287e-05,-9.9681e-07
2,5.870958e-06,7.867114e+07,1.511799e+08,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-1.8426e-06,8.8254e-07,-1.5436e-07,5.7278e-07,3.4035e-06,-9.0348e-08
3,5.667149e-06,8.452910e+07,1.382663e+08,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-2.0823e-06,5.4997e-07,1.0196e-05,-8.7921e-06,2.8559e-06,-6.3239e-08
4,4.828880e-06,1.126599e+08,9.673995e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-3.3291e-06,-2.8130e-09,-1.9580e-06,1.1876e-06,-1.1049e-06,1.7449e-08
5,1.007118e-06,3.554855e+08,2.318270e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,1.4137e-05,2.6553e-08,-3.5993e-05,3.0045e-05,2.3460e-05,-4.2903e-07
6,3.979712e-06,1.402772e+08,7.365926e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-4.5959e-06,-8.8876e-08,-5.7729e-07,4.1104e-06,-5.0937e-06,7.4900e-08
7,1.326588e-07,2.789637e+08,3.133611e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-3.1389e-06,-3.0007e-08,-1.8300e-06,2.3975e-06,-7.8889e-06,8.9400e-08
8,6.260458e-09,3.018435e+08,2.841082e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,1.4605e-07,-1.3597e-08,-3.5292e-07,2.2095e-07,-2.2569e-06,-5.4945e-09
9,1.391243e-07,2.784792e+08,3.034090e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-3.2003e-06,-2.9803e-08,-9.1710e-06,1.2251e-05,-8.1077e-06,9.1536e-08
10,6.023256e-09,3.009217e+08,2.848180e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-1.3466e-08,-1.4264e-08,-3.4529e-07,3.5386e-07,-2.5418e-06,-8.0337e-10
11,6.003361e-09,3.009306e+08,2.852101e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-1.1608e-08,-1.4259e-08,-6.5617e-07,6.2297e-07,-2.5339e-06,-8.6250e-10
12,5.924233e-09,3.009658e+08,2.867840e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-4.2983e-09,-1.4238e-08,-6.3126e-07,6.2178e-07,-2.5028e-06,-1.0878e-09
13,5.616588e-09,3.011070e+08,2.931667e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,2.4915e-08,-1.4139e-08,-6.2244e-07,5.9669e-07,-2.3766e-06,-1.9981e-09
14,4.558308e-09,3.016724e+08,3.201503e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,1.4398e-07,-1.3437e-08,-3.6937e-07,3.4062e-07,-1.8507e-06,-5.6090e-09
15,7.351066e-09,3.029018e+08,6.394644e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,6.3656e-07,4.2001e-08,-3.4308e-07,-5.0812e-09,2.8905e-06,-1.2356e-08
16,1.645082e-09,3.022343e+08,4.393805e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,3.3936e-07,-5.5106e-09,3.9845e-07,-5.7861e-07,-9.8551e-08,-1.0443e-08
17,1.023346e-09,3.013399e+08,5.439376e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,2.7093e-07,1.0653e-08,2.0473e-06,-2.1144e-06,1.0346e-06,-6.2610e-09
18,3.104975e-11,3.002590e+08,4.891216e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,3.5453e-08,-1.4084e-09,-9.7705e-08,9.1909e-08,-6.5458e-08,-1.1809e-09
19,4.526046e-13,2.999995e+08,4.983658e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-1.4551e-09,-2.7448e-10,-2.4707e-08,2.5067e-08,-2.2393e-08,5.3536e-12
20,1.751843e-15,2.999975e+08,4.999667e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-4.0151e-10,-8.5926e-12,-2.3877e-09,2.7352e-09,-1.1528e-09,1.0203e-11
21,1.178236e-16,2.999996e+08,4.999998e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-9.1413e-11,-1.3424e-12,-2.3278e-10,2.3673e-10,-2.6683e-10,3.3220e-12
22,1.444052e-16,3.000002e+08,5.000047e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,7.9281e-11,2.0815e-12,-1.7207e-10,1.1507e-10,3.3769e-10,-4.4504e-12
