# rho_melt1_surf_truth=3.000000e+08  rho_melt1_deep_truth=5.000000e+07
# rho_vap0_fixed=1.366400e+09  f0_m_fixed=0.800000
iter,J,rho_melt1_surf,rho_melt1_deep,kappa_surf,kappa_deep,y_trans,width,g_rms,g_rmd,g_ks,g_kd,g_yt,g_w
1,1.046189e-05,5.000000e+07,3.000000e+08,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-7.5241e-07,1.7886e-05,1.1758e-05,-1.1565e-05,-2.7287e-05,-9.9680e-07
2,5.870951e-06,7.867138e+07,1.511813e+08,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-1.8426e-06,8.8259e-07,3.2222e-05,-2.7098e-05,3.4035e-06,-9.0352e-08
3,5.263346e-06,9.979051e+07,1.368035e+08,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-2.7401e-06,5.2216e-07,-3.5730e-06,1.7748e-06,2.0883e-06,-4.6763e-08
4,4.294994e-07,2.583326e+08,9.172627e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-4.7445e-06,1.0707e-07,1.4754e-05,-1.2461e-05,-3.7161e-06,1.1694e-07
5,2.032291e-05,5.000000e+08,6.949734e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,1.2591e-04,9.1791e-07,-3.4786e-06,-5.2222e-05,2.4564e-04,-3.5334e-06
6,3.021826e-08,2.972064e+08,8.647867e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-1.4220e-07,1.6249e-07,2.0936e-06,-2.0513e-06,4.2324e-06,1.9244e-08
7,6.302835e-07,3.414847e+08,8.139522e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,1.0271e-05,2.6058e-07,-9.9605e-06,-5.7894e-07,2.3270e-05,-2.4208e-07
8,2.976725e-08,2.983609e+08,8.633254e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,5.2105e-08,1.6458e-07,1.7597e-06,-2.0171e-06,4.5789e-06,1.4688e-08
9,2.910924e-08,2.984915e+08,8.597044e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,7.0800e-08,1.6187e-07,8.4896e-07,-9.0818e-07,4.5693e-06,1.4017e-08
10,2.666421e-08,2.990148e+08,8.453716e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,1.4662e-07,1.5149e-07,1.5660e-06,-1.5127e-06,4.5338e-06,1.1310e-08
11,9.265954e-09,3.006749e+08,7.069697e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,3.0198e-07,6.6603e-08,5.3912e-07,-6.3895e-07,3.1042e-06,-5.7064e-10
12,2.993448e-09,3.001458e+08,6.246444e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,1.3381e-07,3.1370e-08,5.6396e-07,-6.0150e-07,1.7695e-06,6.7271e-11
13,6.000481e-10,2.997453e+08,5.592736e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,6.9121e-09,1.1701e-08,4.9881e-07,-5.0674e-07,7.3171e-07,1.2371e-09
14,8.811509e-11,2.997991e+08,5.228278e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-1.5100e-08,3.8476e-09,2.3404e-08,-1.5537e-08,2.4798e-07,8.9974e-10
15,4.514227e-12,2.999371e+08,5.050216e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-6.6140e-09,7.6955e-10,1.2035e-08,-8.9419e-09,4.8415e-08,2.8056e-10
16,3.794854e-14,2.999921e+08,5.004234e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-9.4015e-10,6.1183e-11,-2.9836e-09,3.1047e-09,3.4804e-09,3.2170e-11
17,3.362159e-16,2.999989e+08,4.999985e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-1.7629e-10,-1.6796e-12,3.3700e-10,-3.1326e-10,-2.9113e-10,3.5444e-12
18,1.580839e-16,2.999998e+08,4.999945e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-3.8448e-11,-1.2360e-12,-2.4459e-10,2.5038e-10,-4.8929e-11,-1.8425e-12
19,7.497006e-17,3.000000e+08,4.999996e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,4.7007e-11,1.0316e-12,2.8716e-10,-3.2810e-10,1.6706e-10,-2.2095e-12
20,4.514700e-17,2.999999e+08,4.999969e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-4.7636e-11,-7.9284e-13,-1.1576e-10,1.1728e-10,-1.2751e-10,1.2321e-12
21,1.510832e-16,2.999999e+08,4.999982e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,2.0567e-11,1.2319e-12,-4.4313e-11,3.1439e-11,2.4521e-10,-3.8151e-12
22,1.087597e-16,2.999999e+08,4.999954e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,-6.4015e-12,-1.4198e-12,7.2371e-11,-6.7185e-11,-1.6191e-11,-3.1325e-12
23,5.582635e-17,2.999999e+08,4.999968e+07,8.000000e+01,8.000000e+01,1.890000e-01,2.100000e-03,2.4409e-11,6.3721e-13,1.3145e-10,-1.4835e-10,1.4674e-10,-1.5666e-12
